 Element Code, Element
7275,Cropland nitrogen
7276,Cropland nitrogen per unit area
7290,Cropland nitrogen use efficiency
7280,Cropland phosphorus
7281,Cropland phosphorus per unit area
7291,Cropland phosphorus use efficiency
7282,Cropland potassium
7283,Cropland potassium per unit area
7292,Cropland potassium use efficiency
